First Name,Last Name,Table,Dietary,Entree
Charis,Smith,Table 1,None,Beef
Alexander,Okonkwo,Table 1,Gluten-Free,Lamb
Eleanor,Abernathy,Table 1,Halal,Salmon
Tobias,Wright,Table 1,Vegetarian,Aubergine
Priya,Castellanos,Table 1,Dairy-Free,Risotto
Ottoline,Whitlock,Table 1,Kosher,Chicken
Hugh,Vane,Table 1,Vegan,Beef
Beatrix,Lindqvist,Table 1,Nut-Free,Lamb
Rafferty,Sørensen,Table 1,None,Salmon
Ines,Ashdown,Table 1,Gluten-Free,Aubergine
Callum,Featherstonehaugh,Table 2,Halal,Risotto
Marguerite,Delacroix-Hall,Table 2,Vegetarian,Chicken
Devendra,Raghunathan,Table 2,Dairy-Free,Beef
Saoirse,Nakamura,Table 2,Kosher,Lamb
Jonty,Oyelaran,Table 2,Vegan,Salmon
Anneliese,Fairweather,Table 2,Nut-Free,Aubergine
Kwame,Dubois,Table 2,None,Risotto
Florence,Thistlewood,Table 2,Gluten-Free,Chicken
Casper,Pemberton-Blythe,Table 2,Halal,Beef
Wilhelmina,MacIntyre,Table 2,Vegetarian,Lamb
Chloé,Smith,Table 3,Dairy-Free,Salmon
Ólafur,Okonkwo,Table 3,Kosher,Aubergine
Zainab,Abernathy,Table 3,Vegan,Risotto
Bartholomew,Wright,Table 3,Nut-Free,Chicken
Niamh,Castellanos,Table 3,None,Beef
Charis,Whitlock,Table 3,Gluten-Free,Lamb
Alexander,Vane,Table 3,Halal,Salmon
Eleanor,Lindqvist,Table 3,Vegetarian,Aubergine
Tobias,Sørensen,Table 3,Dairy-Free,Risotto
Priya,Ashdown,Table 3,Kosher,Chicken
Ottoline,Featherstonehaugh,Table 4,Vegan,Beef
Hugh,Delacroix-Hall,Table 4,Nut-Free,Lamb
Beatrix,Raghunathan,Table 4,None,Salmon
Rafferty,Nakamura,Table 4,Gluten-Free,Aubergine
Ines,Oyelaran,Table 4,Halal,Risotto
Callum,Fairweather,Table 4,Vegetarian,Chicken
Marguerite,Dubois,Table 4,Dairy-Free,Beef
Devendra,Thistlewood,Table 4,Kosher,Lamb
Saoirse,Pemberton-Blythe,Table 4,Vegan,Salmon
Jonty,MacIntyre,Table 4,Nut-Free,Aubergine
Anneliese,Smith,Table 5,None,Risotto
Kwame,Okonkwo,Table 5,Gluten-Free,Chicken
Florence,Abernathy,Table 5,Halal,Beef
Casper,Wright,Table 5,Vegetarian,Lamb
Wilhelmina,Castellanos,Table 5,Dairy-Free,Salmon
Chloé,Whitlock,Table 5,Kosher,Aubergine
Ólafur,Vane,Table 5,Vegan,Risotto
Zainab,Lindqvist,Table 5,Nut-Free,Chicken
Bartholomew,Sørensen,Table 5,None,Beef
Niamh,Ashdown,Table 5,Gluten-Free,Lamb
Charis,Featherstonehaugh,Table 6,Halal,Salmon
Alexander,Delacroix-Hall,Table 6,Vegetarian,Aubergine
Eleanor,Raghunathan,Table 6,Dairy-Free,Risotto
Tobias,Nakamura,Table 6,Kosher,Chicken
Priya,Oyelaran,Table 6,Vegan,Beef
Ottoline,Fairweather,Table 6,Nut-Free,Lamb
Hugh,Dubois,Table 6,None,Salmon
Beatrix,Thistlewood,Table 6,Gluten-Free,Aubergine
Rafferty,Pemberton-Blythe,Table 6,Halal,Risotto
Ines,MacIntyre,Table 6,Vegetarian,Chicken
Callum,Smith,Table 7,Dairy-Free,Beef
Marguerite,Okonkwo,Table 7,Kosher,Lamb
Devendra,Abernathy,Table 7,Vegan,Salmon
Saoirse,Wright,Table 7,Nut-Free,Aubergine
Jonty,Castellanos,Table 7,None,Risotto
Anneliese,Whitlock,Table 7,Gluten-Free,Chicken
Kwame,Vane,Table 7,Halal,Beef
Florence,Lindqvist,Table 7,Vegetarian,Lamb
Casper,Sørensen,Table 7,Dairy-Free,Salmon
Wilhelmina,Ashdown,Table 7,Kosher,Aubergine
Chloé,Featherstonehaugh,Table 8,Vegan,Risotto
Ólafur,Delacroix-Hall,Table 8,Nut-Free,Chicken
Zainab,Raghunathan,Table 8,None,Beef
Bartholomew,Nakamura,Table 8,Gluten-Free,Lamb
Niamh,Oyelaran,Table 8,Halal,Salmon
Charis,Fairweather,Table 8,Vegetarian,Aubergine
Alexander,Dubois,Table 8,Dairy-Free,Risotto
Eleanor,Thistlewood,Table 8,Kosher,Chicken
Tobias,Pemberton-Blythe,Table 8,Vegan,Beef
Priya,MacIntyre,Table 8,Nut-Free,Lamb
Ottoline,Smith,Table 9,None,Salmon
Hugh,Okonkwo,Table 9,Gluten-Free,Aubergine
Beatrix,Abernathy,Table 9,Halal,Risotto
Rafferty,Wright,Table 9,Vegetarian,Chicken
Ines,Castellanos,Table 9,Dairy-Free,Beef
Callum,Whitlock,Table 9,Kosher,Lamb
Marguerite,Vane,Table 9,Vegan,Salmon
Devendra,Lindqvist,Table 9,Nut-Free,Aubergine
Saoirse,Sørensen,Table 9,None,Risotto
Jonty,Ashdown,Table 9,Gluten-Free,Chicken
Anneliese,Featherstonehaugh,Table 10,Halal,Beef
Kwame,Delacroix-Hall,Table 10,Vegetarian,Lamb
Florence,Raghunathan,Table 10,Dairy-Free,Salmon
Casper,Nakamura,Table 10,Kosher,Aubergine
Wilhelmina,Oyelaran,Table 10,Vegan,Risotto
Chloé,Fairweather,Table 10,Nut-Free,Chicken
Ólafur,Dubois,Table 10,None,Beef
